# Revision 1.41,,,,,,,,,,,,,
# 8-Apr-2015,,,,,,,,,,,,,
# Revision 1.43,Added 32QFN,,,,,,,,,,,,
# 21-Oct-2020,,,,,,,,,,,,,
# Revision 1.44,Added WLCSP36,,,,,,,,,,,,
# 16-Nov-2020,,,,,,,,,,,,,
,,,,,,,,,,,,,
PAD,Pin/Ball Function,Bank,Dual Function,Differential,High Speed,DQS,I/O Grouping,TQFP144,CSBGA132,TQFP100,WLCSP25,QFN32,WLCSP36
76,PB18C,2,-,True_OF_PB18D,-,-,-,65,M10,45,-,-,-
77,VCCIO2,2,-,-,-,-,-,66,N11,46,-,15,-
78,NC,-,-,-,-,-,-,-,-,-,-,-,-
79,PB18D,2,-,Comp_OF_PB18C,-,-,-,67,P11,47,-,-,-
80,PB20A,2,-,True_OF_PB20B,-,-,-,68,M11,-,-,-,-
81,PB20B,2,-,Comp_OF_PB20A,-,-,-,69,P12,-,-,-,-
82,NC,-,-,-,-,-,-,-,-,-,-,-,-
83,PB20C,2,SN,True_OF_PB20D,-,-,-,70,N12,48,E2,16,E1
84,NC,-,-,-,-,-,-,-,-,-,-,-,-
85,PB20D,2,SI/SISPI,Comp_OF_PB20C,-,-,-,71,P13,49,E1,17,F1
86,VCC,-,-,-,-,-,-,72,P14,50,D1,18,C1
87,PR10D,1,-,Comp_OF_PR10C,-,DQ1,+,73,N14,51,-,-,-
88,PR10C,1,-,True_OF_PR10D,-,DQ1,+,74,N13,52,-,-,-
89,PR10B,1,-,Comp_OF_PR10A,-,DQ1,+,75,M14,-,-,-,-
90,PR10A,1,-,True_OF_PR10B,-,DQ1,+,76,M12,-,-,-,-
91,PR9D,1,-,Comp_OF_PR9C,-,DQ1,+,77,M13,53,-,-,-
92,PR9C,1,-,True_OF_PR9D,-,DQ1,+,78,L14,54,-,-,-
93,VCCIO1,1,-,-,-,-,+,79,L12,55,-,19,-
94,GND,-,-,-,-,-,-,80,L13,56,-,-,-
95,PR9B,1,-,Comp_OF_PR9A,-,DQ1,-,81,K14,57,-,-,-
96,PR9A,1,-,True_OF_PR9B,-,DQ1,-,82,K13,58,-,-,-
97,PR8D,1,-,Comp_OF_PR8C,-,DQ1,-,83,K12,59,-,-,-
98,PR8C,1,-,True_OF_PR8D,-,DQ1,-,84,J13,60,-,-,-
99,PR8B,1,-,Comp_OF_PR8A,-,DQS1N,-,85,J14,-,-,-,-
100,PR8A,1,-,True_OF_PR8B,-,DQS1,-,86,J12,61,-,-,-
101,VCCIO1,1,-,-,-,-,-,88,H14,-,-,-,-
102,NC,-,-,-,-,-,-,-,-,-,-,-,-
103,GND,-,-,-,-,-,+,90,H13,-,-,-,-
104,PR5D,1,PCLKC1_0,Comp_OF_PR5C,-,DQ0,+,91,H12,62,-,20,-
105,PR5C,1,PCLKT1_0,True_OF_PR5D,-,DQ0,+,92,G13,63,-,21,-
106,PR5B,1,-,Comp_OF_PR5A,-,DQS0N,+,93,G14,64,-,-,-
107,PR5A,1,-,True_OF_PR5B,-,DQS0,+,94,G12,65,-,-,-
108,PR4D,1,-,Comp_OF_PR4C,-,DQ0,+,95,F14,66,-,-,-
109,NC,-,-,-,-,-,+,-,-,-,-,-,-
110,PR4C,1,-,True_OF_PR4D,-,DQ0,+,96,F13,67,-,-,-
111,PR4B,1,-,Comp_OF_PR4A,-,DQ0,+,97,F12,68,-,-,-
112,NC,-,-,-,-,-,+,-,-,-,-,-,-
113,PR4A,1,-,True_OF_PR4B,-,DQ0,+,98,E13,69,-,-,-
114,PR3B,1,-,Comp_OF_PR3A,-,DQ0,+,99,E14,70,-,-,-
115,NC,-,-,-,-,-,+,-,-,-,-,-,-
116,PR3A,1,-,True_OF_PR3B,-,DQ0,+,100,E12,71,-,-,-
117,GND,-,-,-,-,-,-,101,D13,72,-,-,-
118,NC,-,-,-,-,-,-,-,-,-,-,-,-
119,VCCIO1,1,-,-,-,-,-,102,D14,73,-,-,-
120,PR2D,1,-,Comp_OF_PR2C,-,DQ0,-,104,D12,-,-,-,-
121,PR2C,1,-,True_OF_PR2D,-,DQ0,-,105,C14,-,-,-,-
122,PR2B,1,-,Comp_OF_PR2A,-,DQ0,-,106,C13,74,-,-,-
123,NC,-,-,-,-,-,-,-,-,-,-,-,-
124,PR2A,1,-,True_OF_PR2B,-,DQ0,-,107,B14,75,-,-,-
125,VCC,-,-,-,-,-,-,108,A14,-,-,-,-
126,PT17D,0,DONE,Comp_OF_PT17C,-,-,+,109,A13,76,B1,23,A1
127,NC,-,-,-,-,-,+,-,-,-,-,-,-
128,PT17C,0,INITN,True_OF_PT17D,-,-,+,110,B13,77,A1,-,B1
129,PT17B,0,-,Comp_OF_PT17A,TRUE,-,+,111,A12,-,-,-,-
130,NC,-,-,-,-,-,+,-,-,-,-,-,-
131,PT17A,0,-,True_OF_PT17B,TRUE,-,+,112,C12,-,-,-,-
132,PT16D,0,-,Comp_OF_PT16C,-,-,+,113,B12,-,-,-,-
133,PT16C,0,-,True_OF_PT16D,-,-,+,114,A11,78,-,-,-
134,NC,-,-,-,-,-,+,-,-,-,-,-,-
135,PT16B,0,-,Comp_OF_PT16A,TRUE,-,+,115,C11,-,-,-,-
136,GND,-,-,-,-,-,-,116,B11,79,-,-,-
137,PT16A,0,-,True_OF_PT16B,TRUE,-,-,117,A10,-,C1,-,-
138,VCCIO0,0,-,-,-,-,-,118,B10,80,-,24,A3
139,NC,-,-,-,-,-,-,-,-,-,-,-,-
140,PT15D,0,PROGRAMN,Comp_OF_PT15C,-,-,-,119,C10,81,A2,25,A2
